CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,Latitude,Longitude
296538111H1,08/14/2024,19:41:00,MURDER & NON-NEGL. MANSLAUGHTER,,
282962459H1,02/28/2024,17:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.665118,-73.958987
294044269H1,09/27/2024,22:24:00,MURDER & NON-NEGL. MANSLAUGHTER,40.665501,-73.756326
289469891H1,07/02/2024,02:55:00,MURDER & NON-NEGL. MANSLAUGHTER,40.851396,-73.932214
287497155H1,05/24/2024,23:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.686334,-73.943057
284257899H1,03/22/2024,14:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.686728,-73.801863
295532788H1,10/26/2024,01:45:00,MURDER & NON-NEGL. MANSLAUGHTER,40.883057,-73.833248
282682441H1,02/23/2024,04:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.85604676326622,-73.90077783555246
280879491H1,01/21/2024,06:08:00,MURDER & NON-NEGL. MANSLAUGHTER,40.891691,-73.858323
292280208H1,08/25/2024,14:45:00,MURDER & NON-NEGL. MANSLAUGHTER,40.84736,-73.904181
295962465H1,07/20/2024,05:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.51066,-74.248416
287497156H1,05/26/2024,03:45:00,MURDER & NON-NEGL. MANSLAUGHTER,40.786171,-73.948611
295914702H2,11/02/2024,06:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.708729,-73.787786
288617787H2,06/16/2024,23:35:00,MURDER & NON-NEGL. MANSLAUGHTER,40.864128,-73.919179
289469890H1,07/02/2024,04:25:00,MURDER & NON-NEGL. MANSLAUGHTER,40.81068,-73.954016
287476966H1,05/24/2024,23:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.70399,-73.939746
298220008H1,05/03/2024,08:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.672134,-73.907498
290838569H1,07/29/2024,19:25:00,MURDER & NON-NEGL. MANSLAUGHTER,40.84106249519891,-73.88780026035386
291353931H1,08/07/2024,21:48:00,MURDER & NON-NEGL. MANSLAUGHTER,40.641476,-73.914914
286762896H1,05/11/2024,22:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.865419,-73.867865
296136725H1,11/06/2024,12:35:00,MURDER & NON-NEGL. MANSLAUGHTER,40.63925,-74.13414
283733273H1,06/08/2017,01:27:00,MURDER & NON-NEGL. MANSLAUGHTER,40.679758,-73.937917
282064710H1,02/02/2024,18:19:00,MURDER & NON-NEGL. MANSLAUGHTER,40.856217,-73.901271
296710723H1,11/18/2024,11:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.864717,-73.890683
294992759H1,10/16/2024,17:41:00,MURDER & NON-NEGL. MANSLAUGHTER,40.63564,-73.910873
291907560H1,08/18/2024,07:17:00,MURDER & NON-NEGL. MANSLAUGHTER,40.6474,-74.014873
296704248H1,11/18/2024,10:25:00,MURDER & NON-NEGL. MANSLAUGHTER,40.74081,-73.972518
293734007H1,09/22/2024,04:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.806701,-73.930135
294432742H1,10/06/2024,03:05:00,MURDER & NON-NEGL. MANSLAUGHTER,40.690394,-73.820431
297030186H1,11/24/2024,05:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.844753981962974,-73.92478279896886
293335062H1,09/14/2024,21:35:00,MURDER & NON-NEGL. MANSLAUGHTER,40.832714,-73.917925
290402828H4,07/19/2024,21:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.609143,-73.981865
280877583H1,01/20/2024,17:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.639282,-73.993161
293036832H1,08/04/2024,17:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.88086,-73.884058
294818472H1,10/13/2024,04:51:00,MURDER & NON-NEGL. MANSLAUGHTER,40.830438,-73.875788
290416009H1,07/21/2024,16:13:00,MURDER & NON-NEGL. MANSLAUGHTER,40.826273,-73.854447
290044412H1,07/12/2024,09:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.726053914581264,-73.98353371783699
280877583H2,01/20/2024,17:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.639282,-73.993161
295865250H1,11/02/2024,17:51:00,MURDER & NON-NEGL. MANSLAUGHTER,40.671821,-73.896354
283887251H1,03/14/2024,16:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.74334,-73.978357
296704249H1,11/18/2024,08:18:00,MURDER & NON-NEGL. MANSLAUGHTER,40.744633,-74.004538
283836676H1,03/16/2024,04:28:00,MURDER & NON-NEGL. MANSLAUGHTER,40.647853,-73.915116
284644656H1,12/31/2023,05:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.67935,-73.741755
290044057H1,07/13/2024,18:26:00,MURDER & NON-NEGL. MANSLAUGHTER,40.697447,-73.940928
283147870H1,03/03/2024,22:37:00,MURDER & NON-NEGL. MANSLAUGHTER,40.829956,-73.936699
281726800H1,02/05/2024,02:02:00,MURDER & NON-NEGL. MANSLAUGHTER,40.734681,-73.810626
290672900H1,07/25/2024,18:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.771148,-73.782005
286764294H1,05/12/2024,00:12:00,MURDER & NON-NEGL. MANSLAUGHTER,40.657877,-73.91354
283791506H1,05/07/2000,14:48:00,MURDER & NON-NEGL. MANSLAUGHTER,40.8382016539357,-73.9237060235498
289527845H1,07/03/2024,21:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.854737,-73.914371
284961340H1,03/17/2024,18:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.599876,-73.997218
295670182H1,10/29/2024,23:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.57556814653694,-73.98121659125884
297737363H1,12/09/2024,16:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.646107,-73.94715
286589894H1,05/08/2024,18:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.854253,-73.8848
293715397H1,09/20/2024,23:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.777784,-73.847972
295775773H1,01/25/1993,05:36:00,MURDER & NON-NEGL. MANSLAUGHTER,40.697912,-73.924847
298515631H1,12/26/2024,18:14:00,MURDER & NON-NEGL. MANSLAUGHTER,40.674606,-73.905535
287563415H1,05/18/2024,15:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.86915188677159,-73.88238004075981
296704248H2,11/18/2024,10:25:00,MURDER & NON-NEGL. MANSLAUGHTER,40.74081,-73.972518
294044271H1,09/29/2024,01:05:00,MURDER & NON-NEGL. MANSLAUGHTER,40.867894,-73.895638
298416549H1,11/02/2024,17:59:00,MURDER & NON-NEGL. MANSLAUGHTER,40.574826,-73.990927
285154441H1,02/25/2000,17:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.662761,-73.907529
285380962H2,04/15/2024,04:03:00,MURDER & NON-NEGL. MANSLAUGHTER,40.816972,-73.921152
292275938H1,08/24/2024,15:21:00,MURDER & NON-NEGL. MANSLAUGHTER,40.81606683945181,-73.91764392674679
298034554H1,12/15/2024,17:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.820506,-73.853109
286921419H1,05/09/2024,17:02:00,MURDER & NON-NEGL. MANSLAUGHTER,,
287123516H1,05/18/2024,22:28:00,MURDER & NON-NEGL. MANSLAUGHTER,40.670131,-73.908924
280107189H1,01/05/2024,01:25:00,MURDER & NON-NEGL. MANSLAUGHTER,40.860707,-73.899247
287193530H1,05/20/2024,20:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.696192,-73.942116
293650726H1,09/20/2024,14:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.8587088485572,-73.90369121770114
285883383H1,04/23/2024,07:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.797341,-73.937528
285351520H1,04/05/2024,15:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.70975367956434,-73.79561752237835
293953481H1,03/07/2024,04:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.697394,-73.951286
291166453H1,07/26/2024,04:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.709493,-73.786483
286036819H1,04/27/2024,20:43:00,MURDER & NON-NEGL. MANSLAUGHTER,40.652355,-73.927031
284584433H1,03/31/2024,04:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.843004,-73.886251
290420710H1,07/21/2024,22:51:00,MURDER & NON-NEGL. MANSLAUGHTER,40.696784,-73.965621
285004479H1,04/08/2024,19:53:00,MURDER & NON-NEGL. MANSLAUGHTER,40.668341,-73.906514
288999310H1,06/23/2024,09:42:00,MURDER & NON-NEGL. MANSLAUGHTER,40.825718,-73.88089
289948010H1,07/11/2024,17:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.833452,-73.935448
281272410H1,01/22/2024,18:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.635133,-73.947894
292606498H1,09/01/2024,08:11:00,MURDER & NON-NEGL. MANSLAUGHTER,40.67081,-73.935107
288170999H1,06/07/2024,20:29:00,MURDER & NON-NEGL. MANSLAUGHTER,40.78845,-73.939372
295721936H1,10/30/2024,20:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.812511,-73.902811
281738123H1,01/17/2024,09:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.549514,-74.176468
292840491H1,09/05/2024,17:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.845073,-73.892649
297565075H1,12/05/2024,15:34:00,MURDER & NON-NEGL. MANSLAUGHTER,40.886853,-73.862682
280126745H1,01/07/2024,18:12:00,MURDER & NON-NEGL. MANSLAUGHTER,40.82062,-73.9563
291370624H1,08/08/2024,02:42:00,MURDER & NON-NEGL. MANSLAUGHTER,40.837314,-73.910115
293148192H1,09/11/2024,16:35:00,MURDER & NON-NEGL. MANSLAUGHTER,40.764289,-73.868377
293715398H1,09/21/2024,03:23:00,MURDER & NON-NEGL. MANSLAUGHTER,40.82843278878286,-73.88104640162443
288498255H1,06/13/2024,21:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.83576,-73.904395
297659532H1,12/05/2024,23:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.595708,-74.089262
290075803H1,07/14/2024,16:39:00,MURDER & NON-NEGL. MANSLAUGHTER,40.854881,-73.901128
296643609H1,11/15/2024,10:05:00,MURDER & NON-NEGL. MANSLAUGHTER,40.792261,-73.966108
297034382H1,11/24/2024,21:19:00,MURDER & NON-NEGL. MANSLAUGHTER,,
295548026H1,10/27/2024,19:14:00,MURDER & NON-NEGL. MANSLAUGHTER,40.674592,-73.938612
287125473H1,05/19/2024,04:15:00,MURDER & NON-NEGL. MANSLAUGHTER,40.656439,-73.890673
283020990H1,02/29/2024,11:11:00,MURDER & NON-NEGL. MANSLAUGHTER,40.802621,-73.951104
287507795H1,05/26/2024,15:15:00,MURDER & NON-NEGL. MANSLAUGHTER,40.862471,-73.911241
297508943H1,12/04/2024,06:46:00,MURDER & NON-NEGL. MANSLAUGHTER,,
293081085H1,09/10/2024,23:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.853645,-73.906891
215817235H1,07/27/2020,16:41:00,MURDER & NON-NEGL. MANSLAUGHTER,40.678387,-73.754514
282033297H1,02/10/2024,01:11:00,MURDER & NON-NEGL. MANSLAUGHTER,40.706243,-73.943026
292713244H1,09/03/2024,17:35:00,MURDER & NON-NEGL. MANSLAUGHTER,40.75809,-73.828808
282833318H1,02/26/2024,16:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.671975,-73.957498
294818472H2,10/13/2024,04:51:00,MURDER & NON-NEGL. MANSLAUGHTER,40.830438,-73.875788
284584434H1,03/30/2024,20:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.85974771441924,-73.89579068278967
288978575H1,06/22/2024,21:35:00,MURDER & NON-NEGL. MANSLAUGHTER,40.70702,-73.790273
290875152H1,07/23/2024,02:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.760042,-73.991458
289545655H1,06/17/2024,13:15:00,MURDER & NON-NEGL. MANSLAUGHTER,40.75861,-73.983207
280943247H1,01/22/2024,10:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.665347541429526,-73.92232132455327
286290815H1,05/02/2024,14:16:00,MURDER & NON-NEGL. MANSLAUGHTER,40.827406,-73.877945
291785987H1,08/15/2024,01:12:00,MURDER & NON-NEGL. MANSLAUGHTER,40.83655,-73.914272
285380961H1,04/15/2024,03:16:00,MURDER & NON-NEGL. MANSLAUGHTER,40.826345,-73.887864
284961340H2,03/17/2024,18:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.599876,-73.997218
281078954H1,01/24/2024,23:03:00,MURDER & NON-NEGL. MANSLAUGHTER,40.67155,-73.932251
296307144H1,11/11/2024,02:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.767881,-73.92055
289815452H1,07/09/2024,00:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.757308,-73.987878
297737364H1,12/09/2024,10:16:00,MURDER & NON-NEGL. MANSLAUGHTER,40.632421,-73.947222
287507794H1,05/24/2024,00:14:00,MURDER & NON-NEGL. MANSLAUGHTER,40.859017,-73.904672
280663451H1,06/28/2022,22:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.814686,-73.899924
285517125H1,04/17/2024,13:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.654153,-73.911632
293400273H1,09/16/2024,16:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.691295,-73.762338
296375035H1,11/12/2024,08:45:00,MURDER & NON-NEGL. MANSLAUGHTER,40.69662275635363,-73.96365241040255
280877584H1,01/19/2024,05:59:00,MURDER & NON-NEGL. MANSLAUGHTER,40.829623,-73.94626
281094629H1,05/21/2023,09:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.789395,-73.844196
298079917H1,12/16/2024,01:05:00,MURDER & NON-NEGL. MANSLAUGHTER,40.784806,-73.848139
292329792H1,08/20/2024,14:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.843351,-73.884563
283733272H2,12/18/2023,11:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.846711,-73.906035
299462478H1,10/24/2024,10:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.784151,-73.85679
286161816H1,04/29/2024,23:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.82446,-73.924026
284932568H1,04/07/2024,02:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.633176,-74.02709
285449093H1,04/16/2024,18:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.84297,-73.914577
295532787H1,10/26/2024,23:44:00,MURDER & NON-NEGL. MANSLAUGHTER,40.694373,-73.976517
284584435H1,03/29/2024,22:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.678976,-73.78317
288617787H1,06/16/2024,23:35:00,MURDER & NON-NEGL. MANSLAUGHTER,40.864128,-73.919179
289131536H1,02/11/2024,16:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.861358,-73.930346
299684020H1,06/18/2024,23:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.82579199507745,-73.94104949920884
287141365H1,05/19/2024,22:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.890937,-73.845764
293740128H1,09/12/2024,19:39:00,MURDER & NON-NEGL. MANSLAUGHTER,40.862368,-73.896509
291796059H1,08/06/2023,17:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.82418431716482,-73.93722456230195
284321504H1,03/25/2024,03:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.817553,-73.905974
286098202H1,04/29/2024,01:05:00,MURDER & NON-NEGL. MANSLAUGHTER,40.676457,-73.821164
289470364H1,07/02/2024,13:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.805725912946464,-73.95441428026615
286657080H1,05/09/2024,13:39:00,MURDER & NON-NEGL. MANSLAUGHTER,40.846766,-73.914167
280519831H1,01/14/2024,20:14:00,MURDER & NON-NEGL. MANSLAUGHTER,40.6625545044738,-73.90891970492359
295532786H1,10/25/2024,09:38:00,MURDER & NON-NEGL. MANSLAUGHTER,40.599157,-73.94649
295548024H1,10/26/2024,19:25:00,MURDER & NON-NEGL. MANSLAUGHTER,40.81566,-73.917992
286523177H1,05/07/2024,14:26:00,MURDER & NON-NEGL. MANSLAUGHTER,40.725616,-74.005167
291716605H1,06/04/2023,10:50:00,MURDER & NON-NEGL. MANSLAUGHTER,40.848194,-73.936163
290402828H3,07/19/2024,21:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.609143,-73.981865
292947999H1,09/08/2024,01:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.680651,-73.748158
295365805H1,10/23/2024,04:53:00,MURDER & NON-NEGL. MANSLAUGHTER,40.67081,-73.935107
294818630H1,10/12/2024,03:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.646574,-73.956879
296909030H1,11/21/2024,14:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.800652,-73.93653
294494999H1,09/08/2024,03:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.833873,-73.816561
286395222H1,05/03/2024,03:23:00,MURDER & NON-NEGL. MANSLAUGHTER,40.67268,-73.903755
287193531H1,05/20/2024,05:39:00,MURDER & NON-NEGL. MANSLAUGHTER,40.845788,-73.942483
295721936H2,10/30/2024,20:20:00,MURDER & NON-NEGL. MANSLAUGHTER,40.812511,-73.902811
291738536H1,08/13/2024,12:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.623537,-74.164536
299445853H1,10/05/2024,02:26:00,MURDER & NON-NEGL. MANSLAUGHTER,40.856122,-73.892377
289573436H1,07/04/2024,06:02:00,MURDER & NON-NEGL. MANSLAUGHTER,40.688095,-73.763651
296455536H1,08/09/2024,21:12:00,MURDER & NON-NEGL. MANSLAUGHTER,40.817486,-73.910376
292150735H1,08/18/2024,04:00:00,MURDER & NON-NEGL. MANSLAUGHTER,40.838771,-73.864702
290376194H1,07/20/2024,02:40:00,MURDER & NON-NEGL. MANSLAUGHTER,40.759435,-73.876597
288999311H1,06/23/2024,17:53:00,MURDER & NON-NEGL. MANSLAUGHTER,40.730905,-73.981442
283966206H1,03/16/2024,20:45:00,MURDER & NON-NEGL. MANSLAUGHTER,40.660861,-73.920518
298607139H1,12/28/2024,02:53:00,MURDER & NON-NEGL. MANSLAUGHTER,40.762269,-73.987986
274582286H1,09/16/2023,20:10:00,MURDER & NON-NEGL. MANSLAUGHTER,40.57459461131273,-73.98763509614024
292085580H1,08/21/2024,15:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.688354,-73.925473
284584436H1,03/30/2024,18:30:00,MURDER & NON-NEGL. MANSLAUGHTER,40.726998,-73.89357
292095795H1,08/20/2024,15:16:00,MURDER & NON-NEGL. MANSLAUGHTER,40.630298,-73.922275
296266929H2,11/10/2024,15:38:00,MURDER & NON-NEGL. MANSLAUGHTER,40.679751,-73.887471
290420709H1,07/21/2024,22:44:00,MURDER & NON-NEGL. MANSLAUGHTER,40.69786073930971,-73.9639474550708
